Time (UTC);Open;High;Low;Close
25.04.2022 02:00;1,07871;1,07888;1,07772;1,07812
25.04.2022 03:00;1,07813;1,07882;1,07799;1,07814
25.04.2022 04:00;1,07812;1,07853;1,07724;1,07741
25.04.2022 05:00;1,07743;1,07786;1,07683;1,07754
25.04.2022 06:00;1,07754;1,07778;1,07067;1,07142
25.04.2022 07:00;1,07143;1,07408;1,07135;1,07383
25.04.2022 08:00;1,07382;1,07542;1,07337;1,07448
25.04.2022 09:00;1,0745;1,07488;1,07301;1,07306
25.04.2022 10:00;1,0731;1,07366;1,07197;1,07242
25.04.2022 11:00;1,07242;1,07522;1,07198;1,07495
25.04.2022 12:00;1,07494;1,07581;1,0732;1,07426
25.04.2022 13:00;1,07428;1,07434;1,07155;1,07228
25.04.2022 14:00;1,07227;1,07287;1,06967;1,07072
25.04.2022 15:00;1,07071;1,07164;1,06987;1,07029
25.04.2022 16:00;1,07028;1,07188;1,06966;1,07151
25.04.2022 17:00;1,0715;1,07183;1,07086;1,07131
25.04.2022 18:00;1,07131;1,07189;1,07093;1,07094
25.04.2022 19:00;1,07093;1,07182;1,07047;1,07136
25.04.2022 20:00;1,07135;1,07149;1,07091;1,07114
25.04.2022 21:00;1,0711;1,07132;1,07108;1,07121
25.04.2022 22:00;1,07124;1,07147;1,07095;1,07129
25.04.2022 23:00;1,07128;1,07144;1,07069;1,07124
26.04.2022 00:00;1,07124;1,07313;1,07114;1,07302
26.04.2022 01:00;1,07301;1,07336;1,07205;1,07248
26.04.2022 02:00;1,07249;1,07315;1,07238;1,07298
26.04.2022 03:00;1,07299;1,07386;1,07295;1,07321
26.04.2022 04:00;1,07322;1,07333;1,07264;1,07279
26.04.2022 05:00;1,07278;1,07334;1,07225;1,07314
26.04.2022 06:00;1,07314;1,07343;1,07003;1,07035
26.04.2022 07:00;1,07035;1,0711;1,06754;1,0676
26.04.2022 08:00;1,06759;1,0692;1,06725;1,06809
26.04.2022 09:00;1,06811;1,0697;1,06808;1,06865
26.04.2022 10:00;1,06865;1,06971;1,06787;1,06893
26.04.2022 11:00;1,06894;1,06939;1,06692;1,06706
26.04.2022 12:00;1,06705;1,06836;1,06701;1,0679
26.04.2022 13:00;1,06789;1,06853;1,06637;1,06744
26.04.2022 14:00;1,06745;1,06774;1,06417;1,06501
26.04.2022 15:00;1,06501;1,06634;1,0647;1,06591
26.04.2022 16:00;1,0659;1,06649;1,06535;1,06591
26.04.2022 17:00;1,06592;1,06614;1,06457;1,06467
26.04.2022 18:00;1,06465;1,06511;1,06406;1,06446
26.04.2022 19:00;1,06447;1,06474;1,06383;1,06438
26.04.2022 20:00;1,06437;1,06437;1,06356;1,0637
26.04.2022 21:00;1,06367;1,06389;1,0636;1,06378
26.04.2022 22:00;1,06377;1,06454;1,06348;1,06446
26.04.2022 23:00;1,06451;1,06478;1,06422;1,06424
27.04.2022 00:00;1,06425;1,06468;1,06349;1,06435
27.04.2022 01:00;1,06434;1,06466;1,0636;1,06465
27.04.2022 02:00;1,06465;1,06534;1,0634;1,06344
27.04.2022 03:00;1,06344;1,06438;1,06336;1,06406
27.04.2022 04:00;1,06405;1,06502;1,06376;1,06496
27.04.2022 05:00;1,06492;1,06546;1,06473;1,06505
27.04.2022 06:00;1,06502;1,06517;1,06161;1,06205
27.04.2022 07:00;1,06204;1,06286;1,0588;1,06237
27.04.2022 08:00;1,06238;1,06248;1,05854;1,05886
27.04.2022 09:00;1,05886;1,06207;1,0586;1,06132
27.04.2022 10:00;1,06138;1,06226;1,06034;1,06104
27.04.2022 11:00;1,06103;1,06106;1,05806;1,05844
27.04.2022 12:00;1,05845;1,05857;1,05451;1,05553
27.04.2022 13:00;1,05553;1,0561;1,05333;1,05482
27.04.2022 14:00;1,05481;1,05537;1,05148;1,05148
27.04.2022 15:00;1,05147;1,0554;1,05145;1,05453
27.04.2022 16:00;1,05454;1,05711;1,05453;1,05627
27.04.2022 17:00;1,05629;1,05721;1,05582;1,05703
27.04.2022 18:00;1,05703;1,05722;1,05557;1,05606
27.04.2022 19:00;1,05608;1,05621;1,05535;1,05582
27.04.2022 20:00;1,05583;1,05606;1,05558;1,05575
27.04.2022 21:00;1,05575;1,05627;1,05524;1,05547
27.04.2022 22:00;1,05551;1,05572;1,055;1,05508
27.04.2022 23:00;1,05506;1,05562;1,05494;1,05541
28.04.2022 00:00;1,05541;1,05541;1,05306;1,05383
28.04.2022 01:00;1,05383;1,05533;1,05348;1,05467
28.04.2022 02:00;1,05469;1,05472;1,05325;1,05366
28.04.2022 03:00;1,05367;1,05406;1,05089;1,05089
28.04.2022 04:00;1,0509;1,05266;1,05087;1,05173
28.04.2022 05:00;1,05172;1,05257;1,04808;1,0512
28.04.2022 06:00;1,05121;1,05308;1,05065;1,05242
28.04.2022 07:00;1,05242;1,05647;1,05151;1,05546
28.04.2022 08:00;1,05545;1,05558;1,05148;1,05158
28.04.2022 09:00;1,05157;1,05385;1,05137;1,05202
28.04.2022 10:00;1,05201;1,05297;1,04965;1,04972
28.04.2022 11:00;1,04974;1,05096;1,04863;1,04902
28.04.2022 12:00;1,04905;1,05238;1,0471;1,04853
28.04.2022 13:00;1,04856;1,0514;1,04814;1,05083
28.04.2022 14:00;1,05082;1,05198;1,04817;1,05148
28.04.2022 15:00;1,05151;1,05312;1,04968;1,05
28.04.2022 16:00;1,04998;1,0515;1,04934;1,05126
28.04.2022 17:00;1,05125;1,05157;1,0497;1,04993
28.04.2022 18:00;1,04995;1,05101;1,04978;1,05045
28.04.2022 19:00;1,05044;1,05106;1,05031;1,05098
28.04.2022 20:00;1,05097;1,05097;1,0498;1,04981
28.04.2022 21:00;1,0498;1,05009;1,04975;1,04991
28.04.2022 22:00;1,04991;1,05015;1,04911;1,04968
28.04.2022 23:00;1,04964;1,05034;1,04947;1,05029
29.04.2022 00:00;1,05032;1,05172;1,05019;1,05156
29.04.2022 01:00;1,05156;1,05297;1,05147;1,05186
29.04.2022 02:00;1,05186;1,0523;1,0505;1,05104
29.04.2022 03:00;1,05105;1,05192;1,05066;1,05131
29.04.2022 04:00;1,05131;1,05207;1,05087;1,05164
29.04.2022 05:00;1,05164;1,05419;1,05164;1,05371
29.04.2022 06:00;1,0537;1,05487;1,05309;1,05436
29.04.2022 07:00;1,05438;1,05785;1,05358;1,05617
29.04.2022 08:00;1,05617;1,05928;1,05579;1,05689
29.04.2022 09:00;1,05689;1,058;1,05656;1,05778
